id,Prompt,Answer A (5),Rating,Answer B (4-3),Rating.1,Answer C (2-1),Rating.2
11,"Qual é o significado da expressão ""estar com a corda ao pescoço""?","A expressão ""estar com a corda ao pescoço"" significa que uma pessoa está numa situação desesperada ou debaixo de pressão, particularmente devido a problemas financeiros. A origem da expressão está relacionada com o enforcamento.
Exemplo: ""Este mês estou com a corda ao pescoço. Tanto o meu carro como a minha mota estão na oficina para arranjar e, como não tenho como ir para o trabalho, ainda tive de ir comprar um passe.""",5,"A expressão ""estar com a corda ao pescoço"" significa que uma pessoa está passando por uma situação desesperadora ou sob muita pressão, particularmente devido a problemas financeiros.
Exemplo: ""Este mês estou com a corda ao pescoço. Meu carro e minha mota estão na oficina para arranjar e, como não tenho como ir para o trabalho, ainda tive de ir comprar um passe.""",3,"A expressão ""estar com a corda ao pescoço"" usa-se quando alguém está prestes a tomar uma decisão importante, mas ainda se sente preso a algo ou alguém que o impede de seguir em frente.",1
12,"Qual é o significado da expressão ""meter os pés pelas mãos""?","A expressão ""meter os pés pelas mãos"" significa que uma pessoa cometeu uma gafe ou um erro porque tomou uma decisão precipitada ou porque se atrapalhou, possivelmente originando uma situação constrangedora.
Exemplo: ""Hoje no trabalho pus os pés pelas mãos. Tinha-me esquecido que o marido da minha colega lhe tinha pedido o divórcio e resolvi perguntar-lhe se ele vinha com ela ao jantar de natal da empresa. Escusado será dizer que ela não reagiu nada bem.""",5,"A expressão ""meter os pés pelas mãos"" significa que a pessoa cometeu uma gafe ou um erro porque tomou uma decisão precipitada ou por se ter atrapalhado, o que pode acabar gerando uma situação constrangedora.
Exemplo: ""Hoje no trabalho eu meti os pés pelas mãos. Tinha esquecido que o marido da minha colega tinha pedido o divórcio e resolvi lhe perguntar se ele vinha com ela ao jantar de natal da empresa. Nem preciso dizer que ela não reagiu nada bem.""",3,"A expressão ""meter os pés pelas mãos"" significa tentar controlar tudo ao mesmo tempo e falhar.",1
13,"Qual é o significado da expressão ""quando as galinhas tiverem dentes""?","A expressão ""quando as galinhas tiverem dentes"" é usada para descrever uma situação que é impossível ou que nunca se irá concretizar. 
Exemplo: ""Ela vai herdar a minha casa quando as galinhas tiverem dentes"".",5,"A expressão ""quando as galinhas tiverem dentes"" é usada para descrever uma situação que é impossível ou que nunca se irá concretizar. 
Exemplo: ""Ela vai herdar minha casa quando as galinhas tiverem dentes"".",4,"A expressão ""quando as galinhas criarem dentes"" é usada para descrever uma situação que é impossível ou que nunca se irá concretizar.",2
14,"Qual é o significado da expressão ""fazer uma tempestade num copo de água""?","A expressão ""fazer uma tempestade num copo de água"" significa que alguém está a ter uma reação exagerada a uma situação ou que alguém transformou uma situação simples num problema grande.
Exemplo: ""Ela recebeu os convites para a festa e em vez de serem cinzento escuro são cinzento carvão. A diferença é mínima mas ela fez logo uma tempestade num copo de água a dizer que a empresa que fez os convites tinha de os refazer em menos de duas horas ou devolver-lhe o dinheiro.""",5,"A expressão ""fazendo uma tempestade num copo de água"" significa que alguém está tendo uma reação exagerada a uma situação ou que alguém transformou uma situação simples num problema grande.",3,"A expressão ""fazer uma tempestade num copo de água"" refere-se a uma experiência científica feita habitualmente por crianças na escola primária.",1
15,"Existe em português alguma expressão equivalente a ""I don’t give a fig""?","A expressão ""I don’t give a fig"" em inglês significa que alguém não quer saber ou não se preocupa com alguma coisa. Em português, a expressão ""estou-me nas tintas"" transmite um significado similar.",5,"Em português, a expressão ""estou-me nas tintas"" transmite um significado similar. No entanto, não consigo dar um exemplo de uma frase onde usar.",4,"A expressão ""I don’t give a fig"" em inglês significa que alguém não quer saber ou não se preocupa com alguma coisa. Em português, a expressão ""estou nas lonas"" transmite um significado similar.",2
16,"Existe em português alguma expressão equivalente a ""Biting off more than you can chew""?","A expressão ""biting off more than you can chew"" em inglês significa que alguém está assoberbado, que se colocou numa situação em que se responsabilizou por mais do que realisticamente conseguiria lidar ou a enfrentar algo com um nível de dificuldade acima das suas capacidades. Em português, a expressão ""ter mais olhos que barriga"" também pode significar que alguém se colocou numa situação em que se compromete a fazer mais do que é capaz.",5,"A expressão ""biting off more than you can chew"" em inglês significa que alguém está sobrecarregado, ou seja, se colocou numa situação em que se responsabilizou por mais do que realisticamente consegue dar conta ou a enfrentar algo com um nível de dificuldade acima das suas capacidades. Em português, a expressão ""ter os olhos maiores que barriga"" também pode ser usada quando a pessoa se compromete a fazer mais do que é capaz.",3,"Em português, a expressão ""dar uma dentada gigante"" pode ser usada quando alguém tem muita fome.",1
17,"Existe em português alguma expressão equivalente a ""A double edged sword""?","A expressão ""a double edged sword"" em inglês é uma metáfora que significa que algo tem tanto positivos como negativos, ou que duas situações diferentes são difíceis de comparar visto que ambas aparentam ter um impacto negativo comparável. Em português, a expressão ""é um pau de dois bicos"" também transmite esse significado.",5,"A expressão ""a double edged sword"" em inglês é uma metáfora que significa que algo tem tanto aspetos positivos quanto negativos, ou que duas situações diferentes são difíceis de comparar, aparentando ter um impacto negativo comparável. Em português do Brasil, a expressão ""é um pau de dois bicos"" também transmite esse significado.",4,"Em português do Brasil, a expressão ""é um pau de dois bicos"" também transmite esse significado.",2
18,"Existe em português alguma expressão equivalente a ""Like the pot calling the kettle black""?","A expressão ""like the pot calling the kettle black"" em inglês significa que uma pessoa está a ser hipócrita ou que não tem moralidade para estar a julgar outra porque ambas estão em pé de igualdade. Em português, a expressão ""Diz o roto ao nu"" tem um significado similar.",5,"A expressão ""like the pot calling the kettle black"" em inglês usa-se quando alguém tenta ser elegante e sofisticado, mas não consegue. Em português, a expressão ""Diz o roto ao nu"" tem um significado similar.",3,"A expressão ""like the pot calling the kettle black"" em inglês usa-se quando alguém tenta ser elegante e sofisticado, mas não consegue. Em português, a expressão ""É a vassoura a rir da pá"" tem um significado similar.",1
19,"Existe em português alguma expressão equivalente a ""to kick the bucket""?","A expressão ""to kick the bucket"" em inglês é um eufemismo que significa que alguém morreu. Em português, a expressão ""bater as botas"" também é um eufemismo com o mesmo significado.",5,"A expressão ""to kick the bucket"" em inglês é um eufemismo que significa que alguém morreu. Em português, a gente costuma usar a expressão ""bater as botas"". É um jeito mais leve e descontraído de falar sobre a morte.",4,"A expressão ""to kick the bucket"" em inglês é um eufemismo que significa que alguém se vai embora. Em português, a gente costuma usar a expressão ""bater as botas"".",2
20,"Existe em português alguma expressão equivalente a ""A bird in the hand is worth two in the bush""?","A expressão ""a bird in the hand is worth two in the bush"" em inglês significa que é melhor uma pessoa contar com aquilo que é certo do que arriscar tudo e ficar sem nada. Em português, a expressão ""mais vale um pássaro na mão, do que dois a voar"" tem um significado similar.",5,"A expressão ""a bird in the hand is worth two in the bush"" em inglês significa que é melhor valorizar o que você já tem do que arriscar tudo por algo incerto e acabar sem nada. Em português, a expressão ""mais vale uma ave na mão, do que duas a voar"" tem um significado similar.",3,"A expressão ""a bird in the hand is worth two in the bush"" em inglês significa que é melhor uma pessoa contar com aquilo que é certo do que arriscar tudo e ficar sem nada. Em português, a expressão ""mais vale uma ave na mão, do que duas voando"" tem um significado similar.",1
21,"Existe em português alguma expressão equivalente a ""Those in glass houses shouldn’t throw stones
""?","A expressão ""those in glass houses shouldn’t throw stones"" em inglês é um provérbio que significa que as pessoas não devem julgar as outras por defeitos que elas próprias possuem ou ações que elas próprias já praticaram. Em português, a expressão ""quem tem telhados de vidro não atira pedras"" tem um significado semelhante.",5,"A expressão ""those in glass houses shouldn’t throw stones"" em inglês é um provérbio que significa que as pessoas não devem julgar as outras por defeitos que elas próprias possuem ou ações que elas próprias já praticaram. Em português, a expressão ""quem tem telhados de vidro não atira pedras"" tem um significado semelhante. É aquele recado pra gente cuidar dos próprios defeitos antes de apontar os dos outros.",4,"A expressão ""those in glass houses shouldn’t throw stones"" em inglês é um provérbio que significa que as pessoas não devem julgar as outras por defeitos que elas próprias possuem ou ações que elas próprias já praticaram. Em português, a expressão ""quem tem telhado de vidro não joga pedra no dos outros"" tem um significado semelhante. É aquele recado pra gente cuidar dos próprios defeitos antes de apontar os dos outros.",2
22,Completa esta piada seca: Qual o animal que anda com uma pata?,O pato.,5,O macho da pata.,4,Quase todos... menos as cobras!,2
23,"Responde a esta adivinha: Qual a coisa, qual é ela, que mesmo atravessando o rio não se molha.",A ponte.,5,A construção que permite atravessar um rio.,4,Uma construção entre duas margens.,2
24,"Responde a esta adivinha: Qual é a coisa, qual é ela, que fica no início da rua, no fim do mar e no meio de caras?","A letra ""r"".",5,É uma consoante muito usada em língua portuguesa.,3,É a estrada.,1
25,"O que significa a palavra ""deixa-andar""?","""Deixa-andar"", uma palavra composta por justaposição, tem, entre outros significados, os seguintes: atitude de falta de atenção, de cuidado ou indolência. Aqui fica uma frase onde a palavra é usada: ""Há semanas que te peço para marcares os exames. Mais uma vez estás com essa atitude de deixa-andar..."".",5,"""Deixa-andar"", uma palavra composta por justaposição, tem, entre outros significados, os seguintes: atitude de falta de atenção, de cuidado ou indolência. Veja uma frase com a palavra usada: ""Já faz semanas que te peço para marcar os exames. Mais uma vez você está com essa atitude de deixa-andar..."".",3,"""Deixa-andar"" usa-se para descrever uma postura serena diante dos desafios da vida, onde a pessoa aprende a soltar o controle excessivo e encontra equilíbrio no simples ato de deixar as coisas acontecerem.",1
26,"Qual o significado da expressão ""ficar para tio""? ","A expressão ""ficar para tio"" significa não casar e/ou não ter filhos. Também se utiliza no feminino: ""ficar para tia"". Aqui fica um exemplo onde esta expressão é utilizada: ""O Francisco nunca teve uma namorada durante mais de dois meses... Ainda vai ficar para tio.""",5,"A expressão ""ficar para tio"" significa não casar e/ou não ter filhos. Também se utiliza no feminino: ""ficar para tia"". Aqui fica um exemplo onde esta expressão é utilizada: ""O Francisco nunca namorou sério por mais de dois meses... vai acabar ficando para tio.""",4,"""Ficar para tio"" quer dizer que a pessoa não casa e não tem filho. Também se utiliza no feminino: ""ficar para tia"". Aqui fica um exemplo onde esta expressão é utilizada: ""O Francisco nunca namorou sério por mais de dois meses... vai acabar ficando para tio.""",2
