id,Prompt,Answer A (5),Rating,Answer B (4-3),Rating.1,Answer C (2-1),Rating.2
11,Faz uma lista das preposições existentes em língua portuguesa.,"As preposições ligam dois termos de uma frase e estabelecem relações semânticas diversas, como de tempo, espaço e movimento. Aqui ficam as preposições existentes em língua portuguesa: a, ante, após, até, com, contra, de, desde, em, entre, para, perante, por, segundo, sem, sob, sobre, trás. ",5,"As preposições ligam dois termos de uma frase e estabelecem relações semânticas diversas, como de tempo, espaço e movimento. Aqui ficam as preposições existentes em língua portuguesa: a, ante, até, com, mais, contra, de, desde, em, entre, para, perante, por, sem, sob, sobre, trás. ",4.0,"As preposições ligam dois termos de uma frase e estabelecem relações semânticas diversas, como de tempo, espaço e movimento. Aqui ficam as preposições existentes em língua portuguesa: a, antes, até, mais, contra, de, desde, no, entre, para, mesmo, pôr, sem, sob, sobre, depois. ",2
12,Indica-me três palavras parassintéticas.,"Antes de mais, importa definir o que são palavras parassintéticas. Formadas através do processo morfológico parassíntese, as palavras parassintéticas exibem, em simultâneo, um prefixo e um sufixo. Então, aqui ficam três exemplos:
Apadrinhar (a + padrinho + ar)
Descampado (des + campo + ado)
Emagrecer (e + magr + ecer)",5,"Primeiro, é importante definir palavras parassintéticas. Formadas pelo processo morfológico da parassíntese, as palavras parassintéticas apresentam um prefixo e um sufixo. Então, aqui estão três exemplos:
Apadrinhar (a + padrinha + ar)
Descampado (des + campo + ar)
Emagrecer (e + magr + ecer)",4.0,"As palavras parassintéticas apresentam um prefixo e um sufixo. Aqui ficam três exemplos:
Apadrinhar (a + padrinho + ar)
Descampado (des + campo + ar)
Emagrecer (e + magro + cer)",2
13,Dá-me três exemplos de palavras complexas.,"Antes de mais, importa referir que existem, em língua portuguesa, palavras simples e palavras complexas. As palavras simples são formadas por um único radical (por exemplo, casa: sendo ""cas"" o radical e ""a"" o índice temático), enquanto as palavras complexas são formadas por derivação ou composição. Então, aqui ficam três palavras complexas: 
Caixote (caix + ote)
Garrafão (garrafa + ão)
Girassol (gira + sol)",5,"Antes de mais nada, é importante notar que em português existem palavras simples e palavras complexas. Palavras simples são formadas por uma única raiz (por exemplo, ""cas"": com ""cas"" como raiz e ""a"" como índice temático), enquanto palavras complexas são formadas por derivação ou composição. Então, aqui estão três palavras complexas:
Caixote (caixa + ote)
Garrafão (garraf + ão)
Girassol (gira + ssol)",3.0,"Palavras simples são formadas por uma única raiz (por exemplo, ""cas"": com ""cas"" como raiz e ""a"" como índice temático), enquanto palavras complexas são formadas por derivação ou composição. Então, aqui estão três palavras complexas:
Caixote (caix + o + te)
Garrafão (gar + raf + ão)
Girassol (gira + ssol)",1
14,"Cria uma lista de dez palavras com oito letras que acabem em ""ão"".","Claro! Aqui ficam dez palavras com oito letras acabadas em ""ão"":
1. Extensão
2. Gratidão
3. Intuição
4. Inversão
5. Oposição
6. Previsão
7. Reflexão
8. Religião
9. Sensação
10. Tradição",5,"Claro! Aqui ficam dez palavras com oito letras acabadas em ""ão"":
1. Cão
2. Obsessão
3. Intuição
4. Confusão
5. Retenção
6. Reflexão
7. Erudição
8. Comiloso
9. Evolução
10. Exatidão",4.0,"Claro! Aqui ficam dez palavras com oito letras acabadas em ""ão"":
1. Cão
2. Mão
3. Então
4. Queridas
5. Não
6. Previsão
7. Malão
8. Portão
9. Comiloso
10. Tradição",1
15,"Quais os constituintes morfológicos da palavra ""rapazinho""?","Aqui ficam os constituintes morfológicos da palavra ""rapazinho"":
[rapaz] - radical
[inho] - sufixo de grau diminutivo",5,"Aqui ficam os constituintes morfológicos da palavra ""rapazinho"":
[rapaz] - radical
[inho] - sufixo",4.0,"Aqui ficam os constituintes morfológicos da palavra ""rapazinho"":
[rapaz] - raiz
[inho] - sufixo de grau diminuitivo",2
16,"Quais os constituintes morfológicos da palavra ""desconforto""?","Aqui ficam os constituintes morfológicos da palavra ""desconforto"":
[des] - prefixo
[conforto] - radical",5,"Aqui ficam os constituintes morfológicos da palavra ""desconforto"":
[des] - prefixo
[conforto] - raiz",4.0,"Aqui ficam os constituintes morfológicos da palavra ""desconforto"":
[des] - prefixo
[con] - sufixo
[forto] - radix",1
17,Dá-me três exemplos de classes fechadas de palavras.,"Claro! Antes disso, importa definir o que são classes fechadas de palavras. Trata-se de um conjunto finito de palavras, à qual é raro serem acrescentadas novas palavras. Os seguintes exemplos constituem classes fechadas de palavras: pronomes, determinantes, quantificadores.",5,"Claro! Antes disso, é importante definir classes de palavras fechadas. São conjuntos finitos de palavras, aos quais raramente se acrescentam novos itens. Os exemplos a seguir constituem classes de palavras fechadas: pronomes, determinantes, quantificadores e conjunções.",3.0,"Claro! Antes disso, é importante definir clases de palavras fechadas. São conjuntos finitos de palavras, aos quais raramente se acrescentam novos itens. Os exemplos siguientes constituem classes de palavras cerradas: preposições, advérbios, verbos.",1
18,"Qual o tempo, pessoa e modo dos verbos na seguinte frase: ""Falhámos a vida, menino! Mas todo o mundo mais ou menos a falha. Isto é, falha-se sempre na realidade aquela vida que se planeou com a imaginação.""","O tempo, pessoa e modo dos verbos expressos na frase, da autoria de Eça de Queirós (obra Os Maias), são os seguintes:
""Falhámos"" - pretérito perfeito do indicativo, 1.ª pessoa do plural
""falha"" - presente do indicativo, 3.ª pessoa do singular
""falha-se"" - presente do indicativo, 3ª pessoa do singular
""planeou"" - pretérito perfeito do indicativo, 3.ª pessoa do singular",5,"O tempo, pessoa e modo dos verbos expressos na frase, da autoria de Eça de Queirós (obra Os Maias), são os seguintes:
""Falhámos"" - pretérito perfeito do imperativo, 1.ª pessoa do plural
""falha"" - presente do indicativo, 3.ª pessoa do singular
""falha-se"" - pretérito perfeito do indicativo, sujeito indeterminado
""planeou"" - pretérito perfeito do indicativo, 3.ª pessoa do plural",3.0,"O tempo, pessoa e modo dos verbos expressos na frase, da autoria de Eça de Queirós (obra Os Maias), são os seguintes:
""Falhámos"" - pretérito imperfeito do imperativo, 1.ª pessoa do plural
""falha"" - pretérito perfeito do indicativo, 2.ª pessoa do plural
""falha-se"" - pretérito perfeito do imperativo, sujeito indeterminado
""planeou"" - pretérito imperfeito do indicativo, 3.ª pessoa do plural",1
19,"Altera os verbos da frase para o modo imperativo: ""Trouxeste o que te pedi do supermercado?""","Claro! Aqui fica a frase alterada para o modo imperativo: ""Traz o que te pedi do supermercado."" A forma ""trouxeste"" foi alterada do pretérito perfeito do indicativo para o presente do imperativo. A forma ""pedi"" mantém-se no pretérito perfeito.",5,"Claro! Aqui fica a frase alterada para o modo imperativo: ""Trarás o que te pedi do supermercado."" A forma ""trouxeste"" foi alterada do pretérito imperfeito do indicativo para o presente do imperativo. A forma ""pedi"" mantém-se no pretérito perfeito.",3.0,"Claro! Aqui fica a frase alterada para o modo imperativo: ""Trarás o que te pedirei do supermercado."" A forma ""trouxeste"" foi alterada do pretérito imperfeito do indicativo para o futuro. A forma ""pedi"" mantém-se no pretérito imperfeito.",1
20,"Analisa tempo, pessoa e modo dos verbos na frase seguinte: ""Se me tivesses dito mais cedo, teria cancelado a reserva.""","Aqui fica, então, a análise do tempo, pessoa e modo dos verbos da frase apresentada:
""tivesses dito"" - pretérito mais-que-perfeito do conjuntivo, 2.ª pessoa do singular
""teria cancelado"" - pretérito do condicional , 3.ª pessoa do singular",5,"Aqui fica, então, a análise do tempo, pessoa e modo dos verbos da frase apresentada:
""tivesses dito"" - pretérito perfeito do conjuntivo, 2.ª pessoa do singular
""teria cancelado"" - pretérito do condicional , 3.ª pessoa do singular",4.0,"Aqui fica, então, a análise do tempo, pessoa e modo dos verbos da frase apresentada:
""tivesses dito"" - presente do condicional, 2.ª pessoa do singular
""teria cancelado"" - condicional , 3.ª pessoa do plural",2
