id,Prompt,Answer A (5),Rating,Answer B (4-3),Rating.1,Answer C (2-1),Rating.2
11,"Indica-me a transcrição fonética da palavra ""sabático"".","Claro! A transcrição fonética é um método usado para transcrever os sons das línguas, sendo, para tal, usado o alfabeto fonético. Portanto, aqui está a transcrição fonética da palavra ""sabático"" é [sɐ.bˈa.ti.ku]. A pronúncia indicativa é a mesma para Lisboa padrão e Lisboa não padrão.",5,"Claro! A transcrição fonética é um método usado para transcrever os sons das línguas, sendo, para tal, usado o alfabeto fonético. Portanto, aqui está a transcrição fonética da palavra ""sabático"" é [sɐ.bˈa.ti].",3,"Claro! A transcrição fonética é um método usado para transcrever os sons das línguas, sendo, para tal, usado o alfabeto fonético. Portanto, aqui está a transcrição fonética da palavra ""sabático"" é [sɐ.bˈa.ti], de acordo com o padrão do português brasileiro.",1
12,"Explica-me o que é o fenómeno fonético crase e dá exemplos de, pelo menos, três frases onde se verifique crase.","A crase é um fenómeno fonético que ocorre com a contração da preposição ""a"" com os determinantes artigos femininos (singular e plural: ""à"", ""às"") e com alguns demonstrativos (""àquele""). Assim sendo, verificamos que a crase é a contração de duas vogais numa só vogal. Aqui ficam frases onde ocorre crase:
""Costumas ir àquele bar?"" (a + aquele)
""Despacha-te, o filme começa às 18h!"" (a + as)
""O que achas de oferecermos uma prenda à Marisa?"" (a + a)",5,"A crase é um fenómeno fonético que ocorre com a contração da preposição ""a"" com os determinantes artigos femininos (singular e plural: ""à"", ""às"") e com alguns demonstrativos (""àquele""). Assim sendo, verificamos que a crase é a contração de duas vogais numa só vogal. Aqui ficam frases onde ocorre crase:
""Costumas ir àquele bar?"" (a + aquele)
""O que achas de oferecermos uma prenda à Marisa?"" (a + a)",4,"A crase é um fenómeno fonético que ocorre com a contração da preposição ""a"" com os determinantes artigos femininos (singular e plural: ""à"", ""às"") e com alguns demonstrativos (""àquele""). Assim sendo, verificamos que a crase é a contração de duas vogais numa só vogal. Aqui ficam frases onde ocorre crase:
""Você costuma ir àquele bar?"" (a + aquele)
""O que você acha de darmos um presente à Marisa?"" (a + a)",2
13,Indica-me cinco exemplos de palavras cuja sílaba é de formato aberto.,"Aqui ficam cinco palavras de sílaba aberta, ou seja, que não terminam em consoante: avaria, cacifo, numeração, objeto, transição.",5,"Aqui vão cinco palavras com sílaba aberta, ou seja, que não terminam em consoante: avaria, cacifo, transição.",3,"Aqui vão cinco palavras com sílaba aberta, ou seja, que não terminam em consoante: avarias.",1
14,Dá-me cinco exemplos de palavras cuja sílaba é de formato fechado.,"Aqui estão cinco palavras de sílaba fechada, ou seja, que terminam em consoante: atravessar, dedais, facilitar, óculos, programar.",5,"Aqui estão cinco palavras de sílaba fechada, ou seja, que terminam em consoante: atravessar, dedais, óculos, programar.",4,"Aqui estão cinco palavras de sílaba fechada, ou seja, que terminam em consoante: atravessou, dedais, óculos, programacão, tênis.",2
15,Podes criar um poema de seis versos com rima emparelhada?,"Claro! A rima emparelhada é um dos esquemas rimáticos possíveis em língua portuguesa. Aqui fica um poema de seis versos com rima emparelhada:

Coração que batia
Junto à água fria.
Corria gelada
Naquela alvorada.
Levantou voo um beija-flor
Que lhe sentia a dor.

A rima emparelhada é obtida através das palavras batia/fria, gelada/alvorada e beija-flor/dor. 
",5,"Claro! A rima emparelhada é um dos esquemas rimáticos possíveis em língua portuguesa. Aqui fica um poema de seis versos com rima emparelhada:

Coração que batia
Junto à água fria.
Corria gelada
E levantou voo um beija-flor.

A rima emparelhada é obtida através das palavras batia/fria, gelada/beija-flor.
",3,"Claro! A rima emparelhada é um dos esquemas rimáticos possíveis em língua portuguesa. Aqui fica um poema de dois versos com rima com cruzamento:

Coração que batia
Junto à água fria.

A rima emparelhada é obtida através das palavras batia/fria.",1
16,Quais os modos de articulação das consoantes em língua portuguesa?,"Existem quatro modos de articulação das consoantes em língua portuguesa. Distinguem-se entre oclusivas, fricativas, laterais, vibrantes.",5,"Existem três modos de articulação das consoantes em língua portuguesa. Distinguem-se entre oclusivas, fricativas, e laterais.",3,Existem dois modos de articulação das consoantes em língua portuguesa. Distinguem-se entre ocultas e friccionadas.,1
17,Cria um poema de oito versos com rima cruzada.,"Claro! A rima cruzada (também designada rima alternada) é um dos esquemas rimáticos possíveis em língua portuguesa. Aqui fica um poema de oito versos, com duas estrofes, com rima cruzada:

Indo, rindo, a vida vai fluindo
Invariavelmente perturbada
Por vezes escapulindo,
Alada.

Observa os astros, na noite escura
Em busca de um sentido.
Porque o que perdura
Raramente é compreendido.

A rima cruzada é obtida, na primeira estrofe, através das palavras fluindo/escapulindo, perturbada/alada. Já na segunda estrofe, a rima cruzada é obtida através das palavras escura/perdura, sentido/compreendido.",5,"Claro! A rima cruzada (também designada rima alternada) é um dos esquemas rimáticos possíveis em língua portuguesa. Aqui fica um poema de oito versos, com duas estrofes, com rima cruzada:

Ia e fui
Para o além
Onde o tempo não flui
nem se vê ninguém.

Cairam todos
que nem tordos
na desilusão
que era a sua definição.

A rima cruzada é feita através de (verso 1 ""fui""/verso 3 ""flui"") e (verso 2 ""além""/verso 4 ""ninguém"") e do (verso 5 ""todos""/verso 6 ""tordos"") e (verso 7 ""desilusão""/verso 8 ""definição"").",4,"Claro! A rima cruzada (também designada rima alternada) é um dos esquemas rimáticos possíveis em língua portuguesa. Aqui fica um poema de oito versos, com uma estrofe, com rima cruzada:

Que lindo que é o sol
Que bela que é a lua
Tudo reluz sobre o seu brilho
Tudo fica resplandecente.
Era tudo tão belo,
Belo como o sol,
Belo como a lua.
",1
18,"Dá-me exemplos de cinco palavras constituídas, cada qual, por um grupo consonântico.","Claro! Antes de mais, importa esclarecer o que são grupos consonânticos. É a designação dada a duas consoantes seguidas que pertencem à mesma sílaba. Aqui ficam cinco exemplos de palavras com grupo consonântico: bloco (blo.co), briga (bri.ga), flagrante (fla.gran.te), plural (plu.ral), travessia (tra.ves.si.a). Como se pode verificar pelos exemplos, os grupos consonânticos surgem com frequência nas palavras em que a segunda consoante é a letra ""l"" ou ""r"".",5,"Claro! Antes de mais, importa esclarecer o que são grupos consonânticos. É a designação dada a duas consoantes seguidas que pertencem à mesma sílaba. Aqui ficam cinco exemplos de palavras com grupo consonântico: brinco (brin.co), briga (bri.ga), flutuar (flu.tu.ar), pontual (pun.tu.al), tragédia (tra.gé.di.a).",4,"Claro! Antes de mais, importa esclarecer o que são grupos consonânticos. É a designação dada a duas consoantes seguidas que pertencem à mesma sílaba. Aqui ficam cinco exemplos de palavras com grupo consonântico: brilho (bri.lho), trazer (tra.zer), tanto (tan.to).",2
19,"Dá-me exemplos de cinco palavras constituídas pelos grupos consonânticos ""gn"" e ""pn"".","Claro! Embora menos comuns do que nos casos em que a segunda consoante da palavra é ""l"" ou ""r"", os grupos consonânticos ""gn"" e ""pn"" também ocorrem em língua portuguesa. Portanto, aqui ficam cinco palavras constituídas pelos grupos consonânticos referidos: gnomo (gno.mo), gnu (gnu), pneometria (pne.o.me.tri.a), pneu (pneu), pneumologia (pneu.mo.lo.gi.a).",5,"Claro! Embora menos comuns do que nos casos em que a segunda consoante da palavra é ""l"" ou ""r"", os grupos consonânticos ""gn"" e ""pn"" também ocorrem em língua portuguesa. Portanto, aqui ficam cinco palavras constituídas pelos grupos consonânticos referidos: gnomo (gno.mo), gnu (gnu), pneumático (pneu.má.ti.co), pneu (pneu), mnemónico (mne.mó.ni.co).",4,"Claro! Embora menos comuns do que nos casos em que a segunda consoante da palavra é ""l"" ou ""r"", os grupos consonânticos ""gn"" e ""pn"" também ocorrem em língua portuguesa. Portanto, aqui ficam cinco palavras constituídas pelos grupos consonânticos referidos: gnomo (gno.mo), gongo (gon.go), mnemónico (mne.mó.ni.co).",2
20,"Indica-me um trava-línguas com repetição de ""r"".","Claro! Aqui está um trava-línguas com repetição de ""r"": ""O rato roeu a rolha da garrafa do rei da Rússia.""",5,"Claro! Aqui está um trava-línguas com repetição de ""r"": ""Riram-se e sorriram quando ruiram ruínas muito bonitas na rua dos ruidosos ratos.""",4,"Claro! Aqui está um trava-línguas com repetição de ""r"": ""O rio rugia com o som das cataratas.""",2
