id,Prompt,Answer A (5),Rating,Answer B (4-3),Rating.1,Answer C (2-1),Rating.2,category
12,Dá-me um exemplo de três neologismos usados em língua portuguesa associados à política.,"Os neologismos são palavras novas ou palavras já existentes numa língua que ganham novas aceções. A pouco e pouco, estes vocábulos incorporam-se na língua. No contexto político, são, por exemplo, criadas para designar o conjunto de ideias e práticas políticas e também o período governativo do político a que se referem. Assim, aqui ficam três neologismos cuja dinâmica lexical é política: salazarismo, bolsonarismo, cavaquismo. ",5,"Os neologismos são palavras novas ou palavras já existentes numa língua que ganham novas aceções. A pouco e pouco, estes vocábulos incorporam-se na língua. No contexto político, são, por exemplo, criadas para designar o conjunto de ideias e práticas políticas e também o período governativo do político a que se referem. Assim, aqui ficam três neologismos cuja dinâmica lexical é política: ciberativismo, pós-verdade, fake news. ",4.0,"Os neologismos são palavras novas ou palavras já existentes numa língua que ganham novas aceções. A pouco e pouco, estes vocábulos incorporam-se na língua. No contexto político, são, por exemplo, criadas para designar o conjunto de ideias e práticas políticas e também o período governativo do político a que se referem. Assim, aqui ficam três neologismos cuja dinâmica lexical é política: estadão, bolsominoria, fake news. ",2,Lexicology
13,Dá-me um exemplo de três arcaísmos existentes em língua portuguesa.,"Um arcaísmo é uma palavra ou construção considerada antiquada e que caiu em desuso. Aqui ficam exemplos de três arcaísmos: petiz, janota, alvíssaras.",5,"Um arcaísmo é uma palavra ou construção considerada antiquada e que caiu em desuso. Aqui ficam exemplos de três arcaísmos: Deslumbração, janota, alvíssaras.",4.0,Um arcaísmo é uma palavra ou construção considerada antiquada e que caiu em desuso. Aqui fica um exemplo de um arcaísmo: arcaíco.,2,Lexicology
16,"Indica-me seis sinónimos da palavra ""crise"".","Claro! Apresento seis sinónimos da palavra ""crise"":
1. Ataque
2. Perturbação
3. Carência
4. Escassez
5. Perigo
6. Acometimento",5,"Claro! Apresento seis sinónimos da palavra ""crise"":
1. Alteração
2. Conflito
3. Comoção
4. Perturbação
5. Transtorno
6. Dádiva",4.0,"Claro! Apresento seis sinónimos da palavra ""crise"":
1. Dádiva
2. Felicidade
3. Crise
4. Paz
5. Calma
",1,Lexicology
27,Indica-me dez palavras da família de palavras de terra.,"Aqui estão dez palavras da família de palavras de terra:
1. terreno
2. terrestre
3. térreo
4. terramoto
5. aterrar
6. território
7. terreiro
8. terráqueo
9. extra-terrestre
10. enterrar",5,"Aqui estão dez palavras da família de palavras de terra:
1. terreno
2. terrestre
3. térreo
4. terramoto
5. aterrar
6. território
7. terreiro
8. terráqueo
9. extra-terrestre
10. terá",4.0,"Aqui estão dez palavras da família de palavras de terra:
1. cavar
2. plantar
3. árvore
4. planta
5. quintal
6. pomar
7. agricultura
8. vida
",1,Lexicology
11,"Cria uma frase com, pelo menos, cinco palavras terminadas em ""ões"".","Claro! Aqui está uma frase com seis palavras terminadas em ""ões"": ""Os dragões vaguearam pelas erupções dos vulcões, em grandes exclamações, junto dos leões e dos abelhões.""",5,"Claro! Aqui está uma frase com seis palavras terminadas em ""ões"": ""Os dragões vaguearam pelas erupções dos vulcões junto dos leões e dos abelhões.""",4.0,"Claro! Aqui está uma frase com seis palavras terminadas em ""ões"": ""Dragões vagaram pelas erupções junto dos leões.""",2,Word Plays
19,"Substitui as palavras de oito letras da seguinte frase por sinónimos: ""O Miguel depressa percebeu que o seu Bobby nunca mais voltaria a saltar. Depois daquele acidente, a vida do seu cãozinho seria completamente diferente.""","Aqui está a frase ""O Miguel depressa percebeu que o seu Bobby nunca mais voltaria a saltar. Depois daquele acidente, a vida do seu cãozinho seria completamente diferente."" com as palavras de oito letras (""depressa"", ""percebeu"", ""voltaria"", ""acidente"", cãozinho"") substituídas por sinónimos: ""O Miguel rapidamente compreendeu que o seu Bobby nunca mais iria saltar. Depois daquele desastre, a vida do seu cachorrinho seria completamente diferente.""",5,"Aqui está a frase ""O Miguel depressa percebeu que o seu Bobby nunca mais voltaria a saltar. Depois daquele acidente, a vida do seu cãozinho seria completamente diferente."" com as palavras de oito letras (""depressa"", ""percebeu"", ""voltaria"", ""acidente"") substituídas por sinónimos: ""O Miguel rapidamente compreendeu que o seu Bobby nunca mais iria saltar. Depois daquele desastre, a vida do seu cãozinho seria completamente diferente.""",4.0,"Aqui está a frase ""O Miguel depressa percebeu que o seu Bobby nunca mais voltaria a saltar. Depois daquele acidente, a vida do seu cãozinho seria completamente diferente."" com as palavras de oito letras (""depressa"", ""percebeu"", ""voltaria"", ""completamente"") substituídas por sinónimos: ""O Miguel rapidamente compreendeu que o seu Bobby nunca mais iria saltar. Depois daquele acidente, a vida do seu cãozinho seria totalmente diferente.""",2,Word Plays
25,"A frase ""Em casa eu tenho uma grande variedade de frutas, que incluem maçãs, bananas, laranjas, mirtilos e morangos."" pode ser obtida a partir da seguinte sopa de letras? esauecaerdvnanrgatiahe,mdseolmitroimmrsajananr,,agolsas.nanabasuãeçdaommeulcnieuqsaturfede
","Sim, é possível obter esta frase a partir desta sopa de letras.
Na sopa de letras estão 86 letras e na frase também estão 86 letras. Para além disso, há uma correspondência perfeita no número de repetições de cada letra: 
a - 15
e - 10
s - 7
n - 7
r - 6
m - 6
u - 5
d - 4
i - 4
o - 4
t - 3
l - 3
c - 2
g - 2
h - 1
v - 1
f - 1
q - 1
ç - 1
ã - 1
b - 1
j - 1",5,"Sim, dá pra montar essa frase a partir dessa sopa de letras.
Na sopa de letras há 85 letras e na frase também estão 85 letras. Para além disso, há uma correspondência perfeita na quantidade de vezes que cada letra se repete: 
a - 15
e - 10
s - 7
n - 7
r - 6
m - 6
u - 5
d - 4
i - 4
o - 4
t - 3
l - 3
c - 2
g - 2
h - 1
v - 1
f - 1
q - 1
ç - 1
ã - 1
b - 1
j - 1",3.0,"Sim, dá pra montar essa frase a partir dessa sopa de letras.
Na sopa de letras há 8 letras e na frase também estão 9 letras. Para além disso, há uma correspondência perfeita na quantidade de vezes que cada letra se repete.",1,Word Plays
27,"Cria um acróstico com a palavra ""gato"" sobre gatos.","Aqui está um acróstico com a palavra ""gato"" sobre gatos:

Galante
Astuto
Teimoso
Observador",5,"Aqui está um acróstico com a palavra ""gato"" sobre gatos:

Galante
Observador
Teimoso
Cordial",3.0,"Aqui está um acróstico com a palavra ""gato"" sobre gatos:

Animal
Teimoso
Grato
Observador",1,Word Plays
12,"Indica-me se a frase ""Puseste a mesa para o lanche, Raul?"" é ou não constituída por vocativo. Se sim, indica-me qual é o vocativo.","O vocativo é uma função sintática opcional, ao contrário do sujeito e do predicado. É desempenhada pela expressão nominal que indica a pessoa a quem nos dirigimos. Esta função sintática ocorre com frequência em frases interrogativas, imperativas e exclamativas. Portanto, a frase ""Puseste a mesa para o lanche, Raul?"" é interrogativa e é constituída por vocativo, sendo o vocativo ""Raul"".",5,"O vocativo é uma função sintática opcional, ao contrário do sujeito e do predicado. É desempenhada pela expressão nominal que indica a pessoa a quem nos dirigimos. Portanto, a frase ""Puseste a mesa para o lanche, Raul?"" é interrogativa e é constituída por vocativo.",4.0,"O vocativo é uma função sintática opcional, diferente do sujeito e do predicado. É exercido por uma expressão nominal que indica a pessoa a quem nos dirigimos. Portanto, a frase ""Você pôs a mesa para o lanche, Raul?"" contém um vocativo.",2,Syntax
16,"Identifica e substitui o complemento direto da frase seguinte pelo pronome pessoal correto: ""Francisco, o teu tio-avô Vasco traduziu este livro nos anos 1950.""","Claro! Comecemos por identificar o complemento direto da frase: ""este livro"". Substituindo o complemento direto pelo pronome pessoal (a 3.ª pessoa do masculino singular), a frase é a seguinte: ""Francisco, o teu tio-avô Vasco traduziu-o nos anos 1950.""",5,"Claro! Comecemos por identificar o complemento direto da frase: ""este livro"". Substituindo o complemento direto pelo pronome pessoal (a 3.ª pessoa do masculino singular), a frase é a seguinte: ""Francisco, o teu tio-avô Vasco traduziu-o.""",4.0,"Claro! Comecemos por identificar o complemento da frase: ""este livro"". Substituindo o complemento direto pelo pronome pessoal (a 2.ª pessoa do masculino plural), a frase é a seguinte: ""Francisco, o teu tio-avô Vasco traduziu-os.""",2,Syntax
