id,Prompt,Answer A (5),Rating,Answer B (4-3),Rating.1,Answer C (2-1),Rating.2
11,"Cria uma frase com, pelo menos, cinco palavras terminadas em ""ões"".","Claro! Aqui está uma frase com seis palavras terminadas em ""ões"": ""Os dragões vaguearam pelas erupções dos vulcões, em grandes exclamações, junto dos leões e dos abelhões.""",5,"Claro! Aqui está uma frase com seis palavras terminadas em ""ões"": ""Os dragões vaguearam pelas erupções dos vulcões junto dos leões e dos abelhões.""",4,"Claro! Aqui está uma frase com seis palavras terminadas em ""ões"": ""Dragões vagaram pelas erupções junto dos leões.""",2
12,"Cria uma frase em que todas as palavras começam pela letra ""c"".","Aqui fica uma frase com todas as palavras começadas pela letra ""c"": ""César, coagido, cometeu crimes com canivetes."" ",5,"Aqui vai uma frase com todas as palavras começadas pela letra ""c"": ""César, coagido, cometeu crimes com facas."" ",3,"Aqui vai uma frase com todas as palavras começadas pela letra ""c"": ""Rui, em silêncio, cometeu delitos."" ",1
13,Cria uma frase com palavras cuja ordem seja decrescente do número de letras de cada palavra.,"Claro! Aqui está uma frase com as palavras por ordem decrescente do número de letras de cada palavra: ""Transformações complexas exigem tempo para mim.""",5,"Claro! Aqui está uma frase com as palavras por ordem decrescente do número de letras de cada palavra: ""Transformações complexas exigem-nos tempo.""",4,"Beleza! Aqui vai uma frase com as palavras por ordem decrescente do número de letras de cada palavra: ""Transformações complexas exigem-nos tempo e espaço.""",2
14,"Cria duas frases, com relação entre si, com mais do que três advérbios de modo.","Claro! Aqui ficam duas frases, com relação entre si, com quatro advérbios de modo: ""Hoje em dia, é extremamente difícil comprar casa, especialmente para os jovens. Portanto, a transição plena para a idade adulta faz-se, indubitavelmente, significativamente mais tarde.""",5,"Claro! Aqui ficam duas frases, com relação entre si, com dois advérbios de modo: ""Hoje em dia, é extremamente difícil comprar casa, sobretudo para os jovens. Portanto, a transição plena para a idade adulta faz-se, indubitavelmente, mais tarde.""",3,"Claro! Aqui fica uma frase com dois advérbios de modo: ""Hoje em dia, é extremamente difícil comprar casa, sobretudo para os jovens. Portanto, a transição plena para a idade adulta faz-se, indubitavelmente, mais tarde.""",1
15,"Cria uma frase em que todas as palavras começam pela letra ""o"".","Claro! Aqui fica uma frase com todas as palavras começadas pela letra ""o"": ""Obediente, o Osvaldo observou os óculos."" ",5,"Claro! Aqui fica uma frase com todas as palavras começadas pela letra ""o"": ""Obediente, o Osvaldo observou os pássaros."" ",4,"Claro! Aqui vai uma frase com todas as palavras começadas pela letra ""o"": ""Compenentrado, o Rui observou os pássaros."" ",2
16,Cria uma frase apenas com palavras de sete letras.,"Aqui fica uma frase apenas com palavras de sete letras: ""Íntegro, Eduardo refutou, debalde.""",5,"Aqui fica uma frase apenas com palavras de sete letras: ""Sem filtros, Eduardo refutou, sem sucesso, a questão.""",3,"Aqui fica uma frase apenas com palavras de oito letras: ""Afastada, Madalena censurou, cética, a resposta.""",1
17,Escreve uma frase apenas com palavras de duas e de três letras.,"Aqui fica uma frase em que todas as palavras têm só duas e três letras: ""Ema tem fé no céu ou no mar?""",5,"Aqui fica uma frase em que todas as palavras têm só duas e três letras: ""Ema, tens fé no céu ou no mar?""",4,"Aqui fica uma frase em que todas as palavras têm só duas e três letras: ""Ema, tens fé no campo ou na rebentação do mar?""",2
18,Cria várias frases com palavras que não tenham mais do que seis letras.,"Aqui estão quatro frases compostas por palavras que não têm mais do que seis letras: ""A Maria sentiu uma dor imensa no peito. Quis gritar, pedir ajuda, fugir, mas não o fez. Em vez disso, caiu no sofá, sem força nas pernas. Sem ser capaz sequer de falar, passou a mão pelo cabelo e fechou os olhos.""",5,"Beleza! Aqui estão quatro frases compostas por palavras que não têm mais do que seis letras: ""A Maria sentiu palpitações imensas no peito. Quis gritar, pedir ajuda, fugir, mas não conseguiu. Em vez disso, caiu no sofá, sem força nas pernas. Sem ser capaz sequer de falar, pousou a mão em cima do coração e fechou os olhos.""",3,"Beleza! Aqui está uma frase composta por palavras que não têm mais do que seis letras: ""A Maria sentiu uma dor imensa no peito.""",1
19,"Substitui as palavras de oito letras da seguinte frase por sinónimos: ""O Miguel depressa percebeu que o seu Bobby nunca mais voltaria a saltar. Depois daquele acidente, a vida do seu cãozinho seria completamente diferente.""","Aqui está a frase ""O Miguel depressa percebeu que o seu Bobby nunca mais voltaria a saltar. Depois daquele acidente, a vida do seu cãozinho seria completamente diferente."" com as palavras de oito letras (""depressa"", ""percebeu"", ""voltaria"", ""acidente"", cãozinho"") substituídas por sinónimos: ""O Miguel rapidamente compreendeu que o seu Bobby nunca mais iria saltar. Depois daquele desastre, a vida do seu cachorrinho seria completamente diferente.""",5,"Aqui está a frase ""O Miguel depressa percebeu que o seu Bobby nunca mais voltaria a saltar. Depois daquele acidente, a vida do seu cãozinho seria completamente diferente."" com as palavras de oito letras (""depressa"", ""percebeu"", ""voltaria"", ""acidente"") substituídas por sinónimos: ""O Miguel rapidamente compreendeu que o seu Bobby nunca mais iria saltar. Depois daquele desastre, a vida do seu cãozinho seria completamente diferente.""",4,"Aqui está a frase ""O Miguel depressa percebeu que o seu Bobby nunca mais voltaria a saltar. Depois daquele acidente, a vida do seu cãozinho seria completamente diferente."" com as palavras de oito letras (""depressa"", ""percebeu"", ""voltaria"", ""completamente"") substituídas por sinónimos: ""O Miguel rapidamente compreendeu que o seu Bobby nunca mais iria saltar. Depois daquele acidente, a vida do seu cãozinho seria totalmente diferente.""",2
20,"Substitui as palavras de oito letras da seguinte frase por antónimos: ""O Miguel depressa percebeu que o seu Bobby nunca mais voltaria a saltar. Depois daquele acidente, a vida do seu cãozinho seria completamente diferente.""","Aqui está a frase ""O Miguel depressa percebeu que o seu Bobby nunca mais voltaria a saltar. Depois daquele acidente, a vida do seu cãozinho seria completamente diferente."" com as palavras de oito letras (""depressa"", ""percebeu"", ""voltaria"", ""acidente"", cãozinho"") substituídas por sinónimos: ""O Miguel lentamente desentendeu que o seu Bobby nunca mais partiria a saltar. Depois daquela peripécia, a vida do seu cãozão seria completamente diferente.""",5,"Aqui está a frase ""O Miguel depressa percebeu que o seu Bobby nunca mais voltaria a saltar. Depois daquele acidente, a vida do seu cãozinho seria completamente diferente."" com as palavras de oito letras (""depressa"", ""voltaria"", ""cãozinho"", ""Bobby"") substituídas por sinónimos: ""O Miguel lentamente percebeu que o seu Biggy nunca mais partiria a saltar. Depois daquela peripécia, a vida do seu cãozinho seria completamente diferente.""",3,"Aqui está a frase ""O Miguel depressa percebeu que o seu Bobby nunca mais voltaria a saltar. Depois daquele acidente, a vida do seu cãozinho seria completamente diferente."" com as palavras de oito letras (""Miguel"", ""depressa"", ""nunca"", ""diferente"") substituídas por sinónimos: ""O Carlos depressa percebeu que o seu Biggy não mais partiria a saltar. Depois daquela peripécia, a vida do seu cãozinho seria completamente outra.""",1
