id,Prompt,Answer A (5),Rating,Answer B (4-3),Rating.1,Answer C (2-1),Rating.2
11,"Identifica o sujeito composto da seguinte frase: ""Homens e 
mulheres têm os mesmos direitos.""","Na língua portuguesa, existem três tipos de sujeito: sujeito simples, sujeito composto e sujeito nulo. Na frase ""Homens e mulheres têm os mesmos direitos"", o sujeito composto é ""homens e mulheres"", pois é composto por dois grupos nominais (ao contrário do sujeito simples, que é composto apenas por um grupo nominal) e apresenta realização lexical (ao contrário do sujeito nulo).",5,"Na língua portuguesa, existem três tipos de sujeito: sujeito simples, sujeito composto e sujeito nulo. Na frase ""Homens e mulheres têm os mesmos direitos"", o sujeito composto é ""e mulheres"".",3,"Na língua portuguesa, existem três tipos de sujeito: sujeito simples, sujeito complexo e sujeito oculto. Na frase ""Homens e mulheres têm os mesmos direitos"", o sujeito é ""homens"", pois, diferentemente do sujeito simples, encontra-se no plural.",1
12,"Indica-me se a frase ""Puseste a mesa para o lanche, Raul?"" é ou não constituída por vocativo. Se sim, indica-me qual é o vocativo.","O vocativo é uma função sintática opcional, ao contrário do sujeito e do predicado. É desempenhada pela expressão nominal que indica a pessoa a quem nos dirigimos. Esta função sintática ocorre com frequência em frases interrogativas, imperativas e exclamativas. Portanto, a frase ""Puseste a mesa para o lanche, Raul?"" é interrogativa e é constituída por vocativo, sendo o vocativo ""Raul"".",5,"O vocativo é uma função sintática opcional, ao contrário do sujeito e do predicado. É desempenhada pela expressão nominal que indica a pessoa a quem nos dirigimos. Portanto, a frase ""Puseste a mesa para o lanche, Raul?"" é interrogativa e é constituída por vocativo.",4,"O vocativo é uma função sintática opcional, diferente do sujeito e do predicado. É exercido por uma expressão nominal que indica a pessoa a quem nos dirigimos. Portanto, a frase ""Você pôs a mesa para o lanche, Raul?"" contém um vocativo.",2
13,"Na frase ""Estes best-sellers foram escritos por um autor norte-americano."", indica-me qual é o complemento agente da passiva.","O complemento agente da passiva é uma função sintática representada por um grupo preposicional, introduzido pela preposição ""por"" e antecedido de um verbo na voz passiva. Portanto, na frase ""Estes best-sellers foram escritos por um autor norte-americano."" o complemento agente da passiva é ""por um autor norte-americano"".",5,"Na frase ""Estes best-sellers foram escritos por um autor norte-americano."" o complemento agente da passiva é ""por um autor"".",3,"O superlativo da passiva é uma função sintática representada por um termo preposicionado. Entonces, a frase ""Estes best-sellers foram escritos por um autor norte-americano."" o complemento agente da passiva é ""best-sellers"".",1
14,"""O Rui foi à consulta de Medicina do Trabalho em Entrecampos."" Esta frase inclui algum modificador do grupo verbal?","O modificador do grupo verbal é um grupo preposicional ou grupo adverbial com uma função sintática não selecionada por nenhum outro grupo sintático da frase. Portanto, a sua omissão não tem impacto na gramaticalidade da frase. Assim sendo, a frase ""O Rui foi à consulta de Medicina do Trabalho em Entrecampos"" inclui um modificador do grupo verbal (apresentado, neste caso, por um grupo preposicional): ""em Entrecampos.""",5,"O modificador do grupo verbal é um grupo preposicional ou grupo adverbial com uma função sintática não selecionada por nenhum outro grupo sintático da frase. Portanto, a sua omissão não tem impacto na gramaticalidade da frase. Assim sendo, a frase ""O Rui foi à consulta de Medicina do Trabalho em Entrecampos"" inclui um modificador do grupo verbal: ""Entrecampos.""",4,"O modificador do predicado verbal é um grupo preposicionado ou grupo adverbial com uma função sintática não selecionada por nenhum outro elemento da oração. Por isso, sua omissão não tem impacto na gramaticalidade da frase. Por isso, a frase ""O Rui foi à consulta de Medicina do Trabalho em Entrecampos"" inclui um modificador do predicado verbal no trecho ""Entrecampos.""",2
15,"Substitui o complemento indireto da frase seguinte pelo pronome pessoal correto: ""Cansei-me de morar num apartamento e comprei a moradia aos meus sogros.""","Comecemos por identificar o complemento indireto da frase: ""aos meus sogros"". Então, aqui está a frase com o complemento indireto substituído pelo pronome pessoal correto (a 3.ª pessoa do plural): ""Cansei-me de morar num apartamento e comprei-lhes a moradia.""",5,"Comecemos por identificar o complemento indireto da frase: ""aos meus sogros"". Então, aqui está a frase com o complemento indireto substituído pelo pronome pessoal correto (a 3.ª pessoa do plural): ""Cansei-me de morar num apartamento e lhes comprei a moradia.""",3,"Comecemos por identificar o complemento indireto da frase: ""cansei-me de morar"". Então, aqui está a frase com o complemento indireto substituído pelo pronome pessoal correto (a 1.ª pessoa do singular): ""Cansei-me de morar num apartamento e lhe comprei a moradia.""",1
16,"Identifica e substitui o complemento direto da frase seguinte pelo pronome pessoal correto: ""Francisco, o teu tio-avô Vasco traduziu este livro nos anos 1950.""","Claro! Comecemos por identificar o complemento direto da frase: ""este livro"". Substituindo o complemento direto pelo pronome pessoal (a 3.ª pessoa do masculino singular), a frase é a seguinte: ""Francisco, o teu tio-avô Vasco traduziu-o nos anos 1950.""",5,"Claro! Comecemos por identificar o complemento direto da frase: ""este livro"". Substituindo o complemento direto pelo pronome pessoal (a 3.ª pessoa do masculino singular), a frase é a seguinte: ""Francisco, o teu tio-avô Vasco traduziu-o.""",4,"Claro! Comecemos por identificar o complemento da frase: ""este livro"". Substituindo o complemento direto pelo pronome pessoal (a 2.ª pessoa do masculino plural), a frase é a seguinte: ""Francisco, o teu tio-avô Vasco traduziu-os.""",2
17,"Indica-me quais as funções sintáticas presentes na frase: ""O Carlos comprou uma mota em segunda mão.""","Claro! Na frase ""O Carlos comprou uma mota em segunda mão"" estão presentes as seguintes funções sintáticas:
""O Carlos"" - sujeito simples
""comprou"" - predicado
""uma mota"" - complemento direto
""em segunda mão"" - modificador do grupo verbal",5,"Claro! Na frase ""O Carlos comprou uma mota em segunda mão"" estão presentes as seguintes funções sintáticas:
""O Carlos"" - sujeito composto
""comprou"" - predicado
""uma moto"" - complemento indireto
""em segunda mão"" - modificador do grupo verbal",3,"Claro! Na frase ""O Carlos comprou uma mota em segunda mão"" estão presentes as seguintes funções sintáticas:
""O Carlos"" - sujeito composto
""uma moto"" - complemento indireto
""em segunda mão"" - vocativo",1
18,Podes criar uma frase com sujeito nulo subentendido?,"Claro! O sujeito nulo subentendido está implícito na forma verbal. Aqui fica uma frase com sujeito nulo de subtipo subentendido: ""Vou ao Porto."" Ou seja, apesar de não estar explícito, é facilmente identificável (""eu"", no caso do exemplo apresentado).",5,"Claro! O sujeito nulo subentendido não está implícito na forma verbal. Aqui fica uma frase com sujeito nulo de subtipo subentendido: ""Vou ao Porto.""",3,"Claro! Ele não está implícito na forma verbal. Aqui fica uma frase com sujeito oculto: ""Eu vou ao Porto.""",1
19,Indica-me uma frase com sujeito nulo indeterminado.,"O sujeito nulo indeterminado não é identificável. Muitas vezes, é introduzido pela partícula ""se"" (o designado ""se impessoal""). A seguinte frase tem sujeito nulo de subtipo indeterminado: ""Não se pode entrar com garrafas de água no recinto do festival.""",5,"O sujeito nulo indeterminado é identificável. A seguinte frase tem sujeito nulo de subtipo indeterminado: ""Não se pode entrar com garrafas de água no recinto do festival.""",3,"O sujeito nulo indeterminado é identificável. A seguinte frase tem sujeito nulo de subtipo indeterminado: ""Não podes entrar com garrafas de água no recinto do festival.""",1
20,Cria uma frase com sujeito nulo expletivo.,"O sujeito nulo expletivo, também designado sujeito nulo inexistente, verifica-se, sobretudo, em verbos meteorológicos. Aqui fica uma frase com sujeito nulo de subtipo expletivo: ""Chove bastante.""",5,"O sujeito nulo subentendido, também designado sujeito nulo indeterminado, é usado, sobretudo, em verbos que falam do tempo. Aqui fica uma frase com sujeito nulo de subtipo expletivo: ""Chove bastante.""",3,"O sujeito nulo expletivo, também designado sujeito nulo inexistente, é usado, sobretudo, em verbos que falam do tempo. Aqui fica uma frase com sujeito nulo de subtipo expletivo: ""Está chovendo bastante.""",1
